dokumen,unesco,gempa,menteri,rusak,longsor,banjir,perintah,ekonomi,pemprov,presiden,camat,korban,preman,polisi,pemkab,bupati,gubernur,infrastruktur,kerjasama,perda,kabupaten,macet,sampah,tsunami,kampanye,label
28,0.0,0.0,0.0,0.0,0.0,0.0,0.2773569391421844,0.8718713262828324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21791869707018532,0.0,0.0,0.0,0.0,0.33974249098799275,0.0,0.0,0.0,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.24652267833886454,0.6199550808048598,0.0,0.0,0.7171851079429288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20131514546541707,0.0,0.0,0.0,0.0,1
30,0.050635907072377834,0.0,0.0,0.0,0.0,0.0,0.05316955265277106,0.06685537925621815,0.0,0.0,0.15468114988649803,0.0,0.0,0.0,0.09631173620252206,0.0,0.0,0.0,0.0,0.0,0.2170963803157798,0.0,0.7960392011987034,0.0,0.5254787388642207,0
31,0.18881861955449653,0.0,0.0,0.0,0.0,0.0,0.5947993497900368,0.249300173548933,0.0,0.0,0.0,0.0,0.0,0.0,0.3591413707798929,0.0,0.0,0.0,0.0,0.0,0.6476327367124788,0.0,0.0,0.0,0.0,0
32,0.41338591027098737,0.0,0.6898908696563462,0.0,0.0,0.0,0.10851757770750453,0.27289993808978297,0.0,0.0,0.0,0.0,0.0,0.0,0.196569574052212,0.0,0.0,0.1787343098183541,0.0,0.0,0.4430876722771856,0.0,0.0,0.0,0.0,0
33,0.17138018000085134,0.0,0.0,0.0,0.0,0.0,0.08997772560064803,0.1131379646717742,0.0,0.0,0.0,0.0,0.0,0.0,0.16298634349523494,0.2827811525303877,0.5473548866928678,0.14819817235143568,0.7222484649213937,0.0,0.0,0.0,0.0,0.0,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
36,0.09381139498780207,0.0,0.1565598228284656,0.0,0.0,0.0,0.6895377481187347,0.12386065053598475,0.4808453315399281,0.0,0.19104828027047013,0.0,0.0,0.0,0.0,0.15479091219884542,0.1498076541692079,0.0,0.0,0.0,0.40220696066755257,0.0,0.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.4455734750606901,0.2801319756838407,0.3625045622903391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6776310951602755,0.0,0.0,0.0,0.36386384227123175,0.0,0.0,0.0,0.0,0
38,0.18841600170339998,0.0,0.0,0.0,0.0,0.0,0.19784368647477832,0.7463057727285731,0.0,0.0,0.19185597392274695,0.0,0.0,0.0,0.0,0.3108906415933877,0.0,0.0,0.0,0.0,0.4846888423060585,0.0,0.0,0.0,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.3668888031504867,0.0,0.0,0.0,0.7115699257733062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5992168612929503,0.0,0.0,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41,0.2651134932808021,0.0,0.4424422165652144,0.0,0.0,0.0,0.27837885514335153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374432281546793,0.0,0.0,0.0,0.0,0.6819885305721792,0.0,0.0,0.0,0.0,0
42,0.1080836602532504,0.0,0.0,0.0,0.0,0.0,0.2269835852461427,0.4281136360786018,0.0,0.0,0.0,0.0,0.0,0.0,0.8223196206782388,0.0,0.0,0.0,0.0,0.0,0.2780387211634793,0.0,0.0,0.0,0.0,0
43,0.09760486310296844,0.0,0.0,0.0,0.0,0.0,0.1024886727219458,0.17182563434475945,0.11117541333215236,0.0,0.0,0.0,0.0,0.0,0.0,0.10736681328685348,0.3636860570155871,0.0,0.8912295780840491,0.0,0.0,0.0,0.0,0.0,0.0,0
44,0.4439331920631393,0.0,0.0,0.0,0.0,0.0,0.0,0.2930659648042026,0.0,0.0,0.0,0.0,0.0,0.0,0.422190289041472,0.0,0.7089180383627666,0.0,0.0,0.0,0.1903319100439522,0.0,0.0,0.0,0.0,0
45,0.15265032729783526,0.0,0.0,0.0,0.0,0.0,0.32057684295548056,0.0,0.0,0.0,0.1554373139679239,0.0,0.0,0.0,0.0,0.755629422618327,0.0,0.5280073696800943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46,0.342533544830411,0.0,0.0,0.31637004964998444,0.0,0.0,0.17983636909247544,0.6783785866089319,0.2926184250661337,0.0,0.1743936455782023,0.0,0.0,0.0,0.0,0.0,0.0,0.296200210039885,0.0,0.0,0.2937156536491885,0.0,0.0,0.0,0.0,0
